Tanggal,Emas,IHSG,Minyak Mentah,Kurs USD/IDR
2019-11-07,660.122,6165.62,799785.6749999999,13994.5
2019-11-08,657.494,6177.99,802161.36,14014.0
2019-11-11,655.313,6148.74,799622.1799999999,14063.0
2019-11-12,659.405,6180.99,798324.0,14055.0
2019-11-13,662.579,6142.5,804306.72,14081.0
2019-11-14,665.183,6098.95,799605.4500000001,14085.0
2019-11-15,663.496,6128.35,812293.5599999999,14073.0
2019-11-18,665.405,6122.63,803064.325,14076.5
2019-11-19,667.942,6152.09,777908.9,14090.0
2019-11-20,665.535,6155.11,804936.895,14094.5
2019-11-21,663.054,6117.36,825245.75,14087.5
2019-11-22,662.502,6100.24,813690.4500000001,14085.0
2019-11-25,657.605,6070.76,816490.75,14075.0
2019-11-26,661.252,6026.19,822704.85,14085.0
2019-11-27,660.266,6023.04,819060.45,14095.0
2019-11-28,659.036,5953.06,818347.2,14090.0
2019-11-29,663.0,6011.83,778172.85,14105.0
2019-12-02,664.455,6130.06,790435.0,14125.0
2019-12-03,669.583,6133.9,791290.5,14105.0
2019-12-04,669.175,6112.88,824155.15,14105.0
2019-12-05,663.039,6152.12,821817.95,14065.0
2019-12-06,658.332,6186.87,831020.0,14037.5
2019-12-09,658.13,6193.79,827165.3,14015.0
2019-12-10,659.498,6183.5,829952.4,14010.0
2019-12-11,662.839,6180.1,824696.6,14035.0
2019-12-12,656.548,6139.4,829999.5,14025.0
2019-12-13,662.951,6197.32,840078.95,13985.0
2019-12-16,664.814,6211.59,843241.05,14005.0
2019-12-17,663.491,6244.35,852550.6,13990.0
2019-12-18,662.878,6287.25,851496.75,13975.0
2019-12-19,664.734,6249.93,856161.7,13985.0
2019-12-20,663.754,6284.37,844800.1,13977.5
2019-12-23,666.774,6305.91,845313.1000000001,13967.5
2019-12-26,678.082,6319.44,860744.4,13955.0
2019-12-27,678.022,6329.31,860994.0,13950.0
2019-12-30,678.27,6299.54,858863.16,13924.5
2020-01-02,682.685,6283.58,849729.02,13889.0
2020-01-03,695.695,6323.47,877971.25,13925.0
2020-01-06,698.57,6257.4,881983.8,13940.0
2020-01-07,711.094,6279.35,869962.5,13875.0
2020-01-08,696.29,6225.69,828131.925,13892.5
2020-01-09,690.373,6274.49,824906.0,13850.0
2020-01-10,690.897,6274.94,812538.0,13762.5
2020-01-13,679.209,6296.57,793837.44,13668.0
2020-01-14,681.16,6325.41,796004.1,13670.0
2020-01-15,684.006,6283.37,789973.65,13665.0
2020-01-16,679.884,6286.05,797627.6000000001,13630.0
2020-01-17,683.33,6291.66,798339.25,13637.5
2020-01-20,683.735,6245.04,800636.725,13632.5
2020-01-21,683.589,6238.15,796778.55,13657.5
2020-01-22,684.228,6233.45,774188.93,13644.5
2020-01-23,683.288,6249.21,757691.7000000001,13630.0
2020-01-24,687.648,6244.11,735493.775,13572.5
2020-01-27,671.911,6133.21,722969.7,13605.0
2020-01-28,686.341,6111.18,729333.5,13637.5
2020-01-29,690.56,6113.04,726754.575,13627.5
2020-01-30,694.758,6057.6,711450.3,13645.0
2020-01-31,703.763,5940.05,704051.8,13655.0
2020-02-03,697.636,5884.17,688636.675,13742.5
2020-02-04,685.454,5922.34,680153.1,13710.0
2020-02-05,683.952,5978.51,694006.25,13675.0
2020-02-06,686.874,5987.15,693939.0,13620.0
2020-02-07,690.784,5999.61,688126.0,13675.0
2020-02-10,692.788,5952.08,678861.15,13695.0
2020-02-11,688.595,5954.4,682430.1,13665.0
2020-02-12,691.709,5913.08,698982.2000000001,13660.0
2020-02-13,693.92,5871.95,703425.6,13680.0
2020-02-14,697.327,5866.94,711783.75,13675.0
2020-02-17,695.385,5867.52,712660.5,13652.5
